Class,discount,Holiday,PackSize,Week,Location, PromoCost ,PromotionID, stockonHand , priceSell ,Increase,pricediscount
Confection,0.1,yes,Case-Pkg,Wk10,Store1,87.76,1001,"261,106",50.48,6.4854,45.432
Confection,0.1,no,Case-Pkg,Wk10,Store10,11.52,1002,"207,937",69.12,-3.2194,62.208
Confection,0.1,no,Case-Pkg,Wk10,Store11,100.72,1003,"111,291",51.41,-6.0652,46.269
Confection,0.1,no,Case-Pkg,Wk10,Store12,90.84,1004,"115,613",112.83,-2.9306,101.547
Confection,0.1,no,Case-Pkg,Wk10,Store13,24.33,1005,"240,933",124.69,6.4825,112.221
Confection,0.1,no,Case-Pkg,Wk10,Store14,87.22,1006,"297,648",89.37,7.2303,80.433
Confection,0.1,no,Case-Pkg,Wk10,Store15,14.57,1007,"201,870",134.49,17.5602,121.041
Confection,0.1,no,Case-Pkg,Wk10,Store2,50.1,1008,"276,899",21.91,-3.0378,19.719
Confection,0.1,no,Case-Pkg,Wk10,Store3,19.28,1009,"132,896",134.67,18.979,121.203
Confection,0.1,no,Case-Pkg,Wk10,Store4,2.58,1010,"279,588",124.05,6.0705,111.645
Confection,0.1,no,Case-Pkg,Wk10,Store5,16.82,1011,"190,346",40.11,4.5033,36.099
Confection,0.1,no,Case-Pkg,Wk10,Store6,83.32,1012,"170,346",103.02,15.1814,92.718
Confection,0.1,no,Case-Pkg,Wk10,Store7,11.91,1013,"127,550",62.65,-3.6651,56.385
Confection,0.1,yes,Case-Pkg,Wk10,Store8,143.47,1014,"213,866",23.65,4.8048,21.285
Confection,0.1,no,Case-Pkg,Wk10,Store9,7.49,1015,"170,448",135.98,12.6495,122.382
Confection,0.1,no,Case-Pkg,Wk11,Store1,101.5,1016,"184,757",111.38,5.9652,100.242
Confection,0.1,yes,Case-Pkg,Wk11,Store10,64.38,1017,"286,459",87.04,6.9376,78.336
Confection,0.1,no,Case-Pkg,Wk11,Store11,38.08,1018,"251,158",86.37,-0.3523,77.733
Confection,0.1,yes,Case-Pkg,Wk11,Store12,30.56,1019,"129,678",69.85,10.6124,62.865
Confection,0.1,no,Case-Pkg,Wk11,Store13,50.51,1020,"235,187",21.35,5.9458,19.215
Confection,0.1,yes,Case-Pkg,Wk11,Store14,34.96,1001,"207,437",109.2,4.2396,98.28
Confection,0.1,yes,Case-Pkg,Wk11,Store15,53.33,1002,"170,580",136.87,18.5598,123.183
Confection,0.1,yes,Case-Pkg,Wk11,Store2,97.32,1003,"299,767",100.2,9.6171,90.18
Confection,0.1,no,Case-Pkg,Wk11,Store3,96.03,1004,"246,461",37.77,8.8687,33.993
Confection,0.1,no,Case-Pkg,Wk11,Store4,31.16,1005,"185,984",23.97,4.5763,21.573
Confection,0.1,yes,Case-Pkg,Wk11,Store5,263.04,1006,"265,462",83.08,0.985,74.772
Confection,0.1,no,Case-Pkg,Wk11,Store6,2.39,1007,"182,498",53.94,2.6078,48.546
Confection,0.1,no,Case-Pkg,Wk11,Store7,12.99,1008,"194,784",122.81,27.8908,110.529
Confection,0.1,no,Case-Pkg,Wk11,Store8,77.2,1009,"175,543",82.8,2.3165,74.52
Confection,0.1,no,Case-Pkg,Wk11,Store9,74.14,1010,"135,197",99.88,23.504,89.892
Confection,0.1,no,Case-Pkg,Wk12,Store1,3.17,1011,"175,731",14.12,5.5945,12.708
Confection,0.1,yes,Case-Pkg,Wk12,Store10,55.72,1012,"218,667",101.76,3.7499,91.584
Confection,0.1,no,Case-Pkg,Wk12,Store11,96.95,1013,"223,712",131.14,11.0272,118.026
Confection,0.1,no,Case-Pkg,Wk12,Store12,26.44,1014,"232,328",111.78,4.0806,100.602
Confection,0.1,yes,Case-Pkg,Wk12,Store13,74.03,1015,"254,991",120.55,5.6488,108.495
Confection,0.1,yes,Case-Pkg,Wk12,Store14,1.24,1016,"152,126",20.8,14.4193,18.72
Confection,0.1,no,Case-Pkg,Wk12,Store15,69.5,1017,"110,871",49.04,-5.7969,44.136
Confection,0.1,yes,Case-Pkg,Wk12,Store2,26.74,1018,"309,546",137.53,17.699,123.777
Confection,0.1,no,Case-Pkg,Wk12,Store3,60.04,1019,"127,628",118.42,6.9077,106.578
Confection,0.1,no,Case-Pkg,Wk12,Store4,13.57,1020,"263,142",120.91,4.6,108.819
Confection,0.1,no,Case-Pkg,Wk12,Store5,0.86,1001,"128,627",44.13,31.2762,39.717
Confection,0.1,no,Case-Pkg,Wk12,Store6,44.46,1002,"223,654",88.25,9.9016,79.425
Confection,0.1,no,Case-Pkg,Wk12,Store7,30.52,1003,"266,748",31.46,10.2248,28.314
Confection,0.1,no,Case-Pkg,Wk12,Store8,54.91,1004,"181,912",38.7,12.505,34.83
Confection,0.1,no,Case-Pkg,Wk12,Store9,38.49,1005,"267,810",29.22,12.1587,26.298
Confection,0.1,no,Case-Pkg,Wk13,Store1,10.81,1006,"134,843",54.55,1.29,49.095
Confection,0.1,no,Case-Pkg,Wk13,Store10,52.13,1007,"143,410",88.08,21.8293,79.272
Confection,0.1,no,Case-Pkg,Wk13,Store11,116.8,1008,"186,867",37.96,-0.5175,34.164
